Investor Name,Enterprise Focus,Company,Round,Amount,Date,AI Category
Greylock Partners,Yes,Abnormal Security,Series C,$210M,2022-05,AI Security
Greylock Partners,Yes,Cresta,Series C,$80M,2022-03,Conversation AI
Google Ventures,Yes,Elicit,Series A,$8M,2023-01,Research Assistant AI
Coatue Management,Yes,Adept AI,Series B,$350M,2023-04,AI Agents
NEA,Yes,Inflection AI,Series A,$225M,2022-07,Personal AI Assistants
Insight Partners,No,ContractPodAi,Series C,$115M,2021-11,Legal AI
Insight Partners,No,Weights & Biases,Series C,$135M,2021-10,MLOps
Insight Partners,No,Aquant,Series C,$70M,2022-01,Service Intelligence
Andreessen Horowitz,No,Inflection AI,Series B,$1.3B,2023-06,Personal AI Assistants
Andreessen Horowitz,No,Adept AI,Series B,$350M,2023-04,AI Agents
Y Combinator,No,Glean,Series C,$100M,2022-05,Enterprise Search
Y Combinator,No,Harvey,Series A,$21M,2023-04,Legal AI
